Date,Clicks,Impressions,CTR,Position
2026-05-26,34,1783,1.91%,8.9
2026-05-27,49,2117,2.31%,9.2
2026-05-28,65,2312,2.81%,8.8
2026-05-29,67,2686,2.49%,8.2
2026-05-30,76,2808,2.71%,7.9
2026-05-31,117,3733,3.13%,7.7
2026-06-01,150,4017,3.73%,7.4
2026-06-02,159,4054,3.92%,7.5
2026-06-03,210,4592,4.57%,7.3
2026-06-04,242,5427,4.46%,7.3
2026-06-05,376,5820,6.46%,6.8
2026-06-06,316,5319,5.94%,6.7
2026-06-07,289,6422,4.50%,7.1
2026-06-08,345,11444,3.01%,7.4
2026-06-09,468,13303,3.52%,7.5
2026-06-10,870,19967,4.36%,7.2
2026-06-11,549,22730,2.42%,7.7
2026-06-12,273,19326,1.41%,8.4
2026-06-13,241,25201,0.96%,8.8
2026-06-14,162,21648,0.75%,9.0
2026-06-15,93,20826,0.45%,9.0
2026-06-16,115,22724,0.51%,8.9
2026-06-17,127,22123,0.57%,9.6
2026-06-18,86,14106,0.61%,9.4
2026-06-19,94,11899,0.79%,9.5
2026-06-20,53,11821,0.45%,10.0
2026-06-21,68,12257,0.55%,10.5
2026-06-22,112,14683,0.76%,9.1
2026-06-23,109,11874,0.92%,9.3
